Ionic,Uncorrected,,,,Corrected,,,,,,,,,
Ion Type,Ion Count,Ionic Fraction,Ionic Fraction (sigma),Background Count,Ion Count,Ionic Fraction,Ionic Fraction (sigma),,,,,,,
H,42200,0.001297931,6.32232582250579E-06,868.2193899,41331.78061,0.001353886,0.000145546,,,,,,,
Cr,10794744,0.332010131,0.000116627,32877.40313,10761866.6,0.352521374,0.00230085,,,,,,,
Ni,11115897,0.341887721,0.000118787,1476407.599,9639489.401,0.315756195,0.002506489,,,,,,,
H2,38913,0.001196833,6.07080215309348E-06,957.8456841,37955.15432,0.001243279,0.000139617,,,,,,,
Co,9959358,0.306316459,0.000110938,467413.5869,9491944.413,0.310923134,0.001870497,,,,,,,
C,1443,4.43818416815742E-05,1.16837375120856E-06,428.6555495,1014.34445,3.32264014395396E-05,2.49822669699644E-05,,,,,,,
Al,32261,0.00099224,5.52704826096911E-06,1206.762627,31054.23737,0.001017229,0.000126708,,,,,,,
Ti,527864,0.016235327,2.25266781936582E-05,4288.326465,523575.6735,0.017150521,0.00051552,,,,,,,
Noise,617,1.89768512249004E-05,7.63986512448525E-07,581.7248068,35.27519321,1.15549282105509E-06,1.29156726560367E-05,,,,,,,
