ROI,Top Level ROI
Ion(s),H2
Maximum d-pair (nm),3
Sample Width d-pair (nm),0.1
Order (ions),1
Sample Count,30


d-pair (nm),Count,Randomized Count
0.0500000007450581,58,30
0.150000002235174,335,369
0.25000000372529,932,861
0.350000012665987,1742,1588
0.450000006705523,2645,2716
0.550000000745058,3656,3538
0.650000024586916,4204,4170
0.749999988824129,4654,4712
0.850000012665987,4712,4770
0.950000036507845,4501,4464
1.05000000074506,3684,3741
1.15000002458692,2872,2933
1.25000004842877,2026,2083
1.35000007227063,1350,1278
1.4499999769032,724,809
1.55000000074506,407,441
1.65000002458692,255,220
1.75000004842877,88,108
1.85000007227063,38,45
1.9499999769032,14,19
2.05000000074506,9,10
2.15000014379621,3,6
2.25000004842877,1,0
2.34999995306134,2,0
2.45000009611249,0,1
2.55000000074506,0,0
2.65000014379621,1,1
2.75000004842877,0,0
2.84999995306134,0,0
2.95000009611249,0,0

