,Cylinder ID: 0,,,,,,,,,,,,,,,,,,,,
Distance (nm),Ion Count,Ni ion%,H2 ion%,Co ion%,Cr ion%,H ion%,O ion%,C ion%,Al ion%,Ti ion%,S ion%,Ni ion% Sigma,H2 ion% Sigma,Co ion% Sigma,Cr ion% Sigma,H ion% Sigma,O ion% Sigma,C ion% Sigma,Al ion% Sigma,Ti ion% Sigma,S ion% Sigma
11.5,4296,60.26536313,0.232774674,11.26629423,1.932029795,0.046554935,0.023277467,0,10.21880819,16.01489758,0,0.746597234,0.073524093,0.482394911,0.210009222,0.032911646,0.023274758,0,0.462126284,0.559539918,0
12,4396,61.73794359,0.045495905,10.96451319,1.842584167,0.068243858,0.068243858,0.022747953,9.212920837,16.03730664,0,0.733046276,0.032163144,0.471245704,0.202836629,0.039387163,0.039387163,0.022745365,0.436196172,0.55345212,0
12.5,4195,61.26340882,0.047675805,12.77711561,1.549463647,0.071513707,0.095351609,0,9.773539928,14.42193087,0,0.75213413,0.033703848,0.515425204,0.190692563,0.041273692,0.047653069,0,0.458486891,0.542409096,0
13,4372,60.29277219,0.022872827,12.48856359,1.669716377,0,0.091491308,0,9.72095151,15.7136322,0,0.739992526,0.022870211,0.499975328,0.193787126,0,0.045724723,0,0.448030725,0.550398048,0
13.5,4326,60.84142395,0.115580213,12.64447527,1.687471105,0.046232085,0.069348128,0,9.870550162,14.72491909,0,0.742112715,0.051659163,0.505303535,0.195830056,0.032683463,0.040024275,0,0.453482761,0.538758669,0
14,4355,62.3880597,0.114810563,11.18254879,1.515499426,0.022962113,0.022962113,0,9.942594719,14.81056257,0,0.734039666,0.051315361,0.477557285,0.185126143,0.022959476,0.022959476,0,0.453435485,0.538250663,0
14.5,4500,60.82222222,0.133333333,11.4,1.911111111,0.044444444,0.022222222,0,10.28888889,15.35555556,0.022222222,0.727687281,0.054396805,0.473765061,0.204101699,0.031419984,0.022219753,0,0.452898727,0.537434744,0.022219753
15,4335,61.13033449,0.138408304,12.2260669,1.937716263,0.138408304,0.069204152,0.023068051,10.61130334,13.70242215,0.023068051,0.740353676,0.056465836,0.497544137,0.209363776,0.056465836,0.039941208,0.02306539,0.467768655,0.522280034,0.02306539
15.5,4588,61.4646905,0.152571927,12.11857018,1.525719268,0.043591979,0.02179599,0,10.06974717,14.581517,0.02179599,0.718506284,0.057622759,0.481795283,0.180961847,0.030817465,0.021793614,0,0.444273578,0.521033415,0.021793614
16,4357,62.08400275,0.137709433,11.61349552,1.537755336,0.045903144,0.045903144,0,10.37411063,14.16112004,0,0.73503381,0.056180917,0.485378659,0.186416654,0.032450974,0.032450974,0,0.461953643,0.528198354,0
16.5,4218,61.75912755,0.260787103,11.61688004,1.920341394,0.071123755,0.094831674,0,9.127548601,15.12565197,0.023707918,0.748274912,0.078527674,0.493373852,0.211312606,0.041048714,0.047393349,0,0.443445152,0.551686034,0.023705108
17,4351,60.79062285,0.137899333,12.34199035,1.516892668,0.114916111,0.068949667,0,9.8138359,15.19190991,0.022983222,0.740148267,0.056258337,0.498647748,0.185295024,0.05136251,0.039794383,0,0.451018973,0.544164603,0.022980581
17.5,4302,60.43700604,0.185960019,13.17991632,1.557415156,0.139470014,0.046490005,0.023245002,10.041841,14.38865644,0,0.745522651,0.065685635,0.515740484,0.188781094,0.056898675,0.032865755,0.023242301,0.458238682,0.535106929,0
18,4362,61.11875287,0.183402109,12.33379184,1.719394773,0.045850527,0.114626318,0,10.11004127,14.3741403,0,0.738098809,0.064782949,0.497876454,0.196824375,0.032413785,0.051233059,0,0.456445809,0.531190845,0
18.5,4287,60.13529275,0.093305342,13.52927455,1.88943317,0.046652671,0.069979006,0,9.307207838,14.92885468,0,0.747794493,0.046630901,0.522390252,0.207944251,0.032980724,0.040388259,0,0.443730571,0.544286601,0
19,4596,61.68407311,0.087032202,12.18450827,2.001740644,0.195822454,0.130548303,0,9.377719756,14.31679721,0.02175805,0.717110662,0.04349716,0.482502494,0.206596555,0.065210209,0.053261322,0,0.430007577,0.516631369,0.021755683
19.5,4593,59.72131504,0.043544524,13.65120836,2.85216634,0.065316786,0.043544524,0,9.797517962,13.82538646,0,0.723692547,0.030783924,0.506600317,0.245615496,0.037698347,0.030783924,0,0.438650931,0.509307521,0
20,4284,58.87021475,0.116713352,14.37908497,3.197945845,0.233426704,0.093370682,0,9.710550887,13.39869281,0,0.751798232,0.052165329,0.536081508,0.268814758,0.073729802,0.046663541,0,0.452392821,0.520437651,0
