Ionic,Uncorrected,,,,Corrected,,,,,,,,,
Ion Type,Ion Count,Ionic Fraction,Ionic Fraction (sigma),Background Count,Ion Count,Ionic Fraction,Ionic Fraction (sigma),,,,,,,
Al,184940,0.037048248,8.77307269306914E-05,604.992312,184335.0077,0.038886325,0.00241046,,,,,,,
Ni,1694279,0.339407745,0.000301777,167213.0833,1527065.917,0.322141637,0.007156312,,,,,,,
Ti,246074,0.049294963,0.000101793,1258.973013,244815.027,0.051644865,0.002772392,,,,,,,
H2,390,7.812705020905E-05,3.95627150589757E-06,90.62849605,299.3715039,6.31538071565406E-05,0.00010445,,,,,,,
Co,1423352,0.285134085,0.000270936,71992.59521,1351359.405,0.285075534,0.005599769,,,,,,,
Cr,1428697,0.286204826,0.000271558,10075.06164,1418621.938,0.299264877,0.006453784,,,,,,,
H,11693,0.002342409,2.16874178947176E-05,45.81590724,11647.18409,0.002457028,0.000607316,,,,,,,
O,2359,0.000472568,9.7320287530391E-06,138.9828705,2220.017129,0.000468323,0.000268984,,,,,,,
Noise,85,1.70276904301776E-05,1.84692806456524E-06,93.25879395,-8.25879395,-1.74E-06,3.51195032934266E-05,,,,,,,
