,Concentration (Ni)
Distance (nm),Ion Count,Al ion%,Ni ion%,Ti ion%,H2 ion%,Co ion%,Cr ion%,H ion%,O ion%,Al ion% Sigma,Ni ion% Sigma,Ti ion% Sigma,H2 ion% Sigma,Co ion% Sigma,Cr ion% Sigma,H ion% Sigma,O ion% Sigma
-4.95000007376075,24922,3.15785249979937,25.314982746168,0.726265949763261,0.00802503811893106,33.7372602519862,36.6543616082176,0.37717679158976,0.0240751143567932,0.110773704647533,0.275431821900245,0.0537865358910973,0.00567433117585207,0.299500915401461,0.305231775408779,0.0388293801373581,0.00982744108139708
-4.85000007227063,24836,3.32179094862297,25.2939281687872,0.728780802061524,0.0120792398131744,33.5279433081011,36.7249154453213,0.374456434208407,0.0161056530842326,0.11371287014532,0.275832391864979,0.0539720997207314,0.00697353114480721,0.299558873909265,0.305883424582198,0.0387565557709234,0.00805217803585052
-4.75000007078052,24736,3.23010996119017,25.2506468305304,0.768111254851229,0.0121280724450194,33.5341203104787,36.8127425614489,0.375970245795602,0.0161707632600259,0.112412353697498,0.276232794627677,0.0555102210882443,0.00700172126534495,0.300177475940792,0.306654331606777,0.0389129408982384,0.00808472786962133
-4.6500000692904,24526,3.29446301883715,25.4220011416456,0.88885264617141,0.0163092228655305,32.9527847998043,37.0015493761722,0.403653265921879,0.0203865285819131,0.11397369464162,0.278033334237733,0.0599325525353451,0.00815394642877368,0.300139442294633,0.308291483249026,0.0404867184568692,0.00911620336607382
-4.55000006780028,24756,3.63952173210535,25.1858135401519,0.751333010179351,0,33.2767813863306,36.7183713039263,0.41202132816287,0.0161576991436419,0.119023137675629,0.275886045255484,0.0548830627669219,0,0.299480751097444,0.306365806247738,0.0407120593212007,0.00807819686735036
-4.45000006631017,24632,3.44267619356934,25.1705099058136,0.763234816498863,0.00811951932445599,33.7325430334524,36.4647612861319,0.393796687236116,0.024358557973368,0.11616916302991,0.276523828930112,0.0554517872482727,0.00574113408385789,0.301248474223335,0.306686163312067,0.0399051901377796,0.00994312842815934
-4.35000006482005,24363,3.11948446414645,24.8655748471042,0.73882526782416,0.012313754463736,33.9736485654476,36.9002175429955,0.37762180355457,0.012313754463736,0.11137667578125,0.276919381722897,0.0548649758880803,0.00710891172697946,0.303434083687275,0.309145558699224,0.0392953897789585,0.00710891172697946
-4.25000006332994,24536,3.30127160091294,25.6031953048582,0.815128790348875,0.00407564395174438,33.1390609716335,36.7460058689273,0.366807955656994,0.0244538637104663,0.114064139368909,0.278626451963453,0.057402915619634,0.00407556089653,0.300506903497456,0.307784798011139,0.0385939752473088,0.00998202733546468
-4.15000006183982,24483,3.1736306825144,25.2869337907936,0.702528284932402,0.00816893354572561,33.6274149409795,36.7642854225381,0.412531144059143,0.0245068006371768,0.112032157740662,0.277788363644125,0.0533787852501926,0.00577607236903295,0.301931755083118,0.308149852046996,0.0409636268620238,0.010003633454266
-4.0500000603497,24488,3.26282260699118,25.6615485135577,0.771806599150604,0.0204181639986932,33.1141783730807,36.7771969944463,0.375694217575956,0.0163345311989546,0.113531605316253,0.279107512844051,0.0559236009023618,0.00913034826785555,0.300744273591371,0.308141028632143,0.0390951830701384,0.00816659852996179
-3.95000005885959,24347,3.13796360947961,25.4363987349571,0.763954491313098,0.00410728221136074,33.4579208937446,36.8217850248491,0.369655399022467,0.00821456442272149,0.111732115378688,0.279105581773231,0.0558014830133574,0.00410719786165879,0.302395225798345,0.309110221861059,0.038893015366224,0.00580833562836528
-3.85000005736947,24316,3.37226517519329,24.7121237045567,0.818391182760322,0,34.1914788616549,36.5150518177332,0.382464221088995,0.00822503701266656,0.115761911897814,0.276612301859161,0.0577763334836004,0,0.304196309605922,0.308763018512025,0.0395837775005239,0.00581574025901735
-3.75000005587935,24406,3.12218306973695,25.3953945751045,0.753912972219946,0.00409735310989101,33.4835696140293,36.9212488732279,0.303204130131935,0.016389412439564,0.111325088897528,0.278619813963077,0.055369295916382,0.00409726916751861,0.302087002176151,0.308909618463209,0.0351932887971686,0.00819403466016444
-3.65000005438924,24296,3.49440237076062,24.6419163648337,0.736746789594995,0.00411590385248601,33.9315113598946,36.8538030951597,0.333388212051366,0.00411590385248601,0.117813570608942,0.276461571932424,0.0548638131653388,0.0041158191482918,0.303760569750069,0.309490530812006,0.0369813343984783,0.0041158191482918
-3.55000005289912,24431,3.03712496418485,25.1279112602841,0.769514141868937,0.0122794809872703,33.8995538455241,36.7443002742417,0.392943391592649,0.0163726413163604,0.109790168357291,0.277502913722912,0.0559062342393479,0.00708912635945835,0.30285068812788,0.308442490382799,0.0400257451890228,0.00818565047228809
-3.45000005140901,24285,3.08420835906938,24.7971999176446,0.860613547457278,0.0123533045089561,34.0127650813259,36.8375540457072,0.38295243977764,0.0123533045089561,0.110943043275997,0.27710813371053,0.0592731692111426,0.00713174313983711,0.304005808141524,0.309532181795083,0.0396342093917985,0.00713174313983711
-3.35000004991889,24253,3.00993691502082,25.0938028285161,0.845256256957902,0,33.6247062219107,37.0345936585165,0.371088112810786,0.0206160062672659,0.10971337731857,0.278393686481998,0.0587852286820177,0,0.303354012696351,0.3100787922367,0.0390434765407588,0.00921880786567316
-3.25000004842877,24049,3.3473325294191,24.761944363591,0.794211817539191,0.016632708220716,34.0180464884195,36.7749178760032,0.282756039752173,0.00415817705517901,0.115986605931888,0.278331680882492,0.0572384898732831,0.00831566246414006,0.305505306883769,0.310936743402901,0.0342406946992537,0.00415809060209817
-3.15000004693866,24298,3.16898510165446,25.2366449913573,0.724339451806733,0.0164622602683348,34.0521853650506,36.4268664087579,0.349823030702115,0.0246933904025023,0.112378201339334,0.278660194836265,0.05440103957092,0.0082304525912487,0.304009695816763,0.308718355440714,0.0378772091715256,0.0100797896661381
-3.05000004544854,24211,3.2960224691256,24.7862541819834,0.714551237041014,0.00826070794267069,33.6830366362397,37.1277518483334,0.359340795506175,0.0247821238280121,0.11473895407542,0.277490228606741,0.0541318818718698,0.0058409613363376,0.303746701777044,0.3105077594329,0.0384560961210479,0.0101160059732589
