,Concentration (Nb)
Distance (nm),Ion Count,Ni ion%,Mo ion%,Nb ion%,Cr ion%,Fe ion%,Al ion%,Si ion%,Ti ion%,H2 ion%,O ion%,H ion%,P ion%,B ion%,Mn ion%,Ni ion% Sigma,Mo ion% Sigma,Nb ion% Sigma,Cr ion% Sigma,Fe ion% Sigma,Al ion% Sigma,Si ion% Sigma,Ti ion% Sigma,H2 ion% Sigma,O ion% Sigma,H ion% Sigma,P ion% Sigma,B ion% Sigma,Mn ion% Sigma
-4.950000073760748,18688,46.20077054794521,2.054794520547945,2.905607876712329,23.46960616438356,24.004708904109588,0.5886130136986302,0.2889554794520548,0.24079623287671234,0,0,0.037457191780821915,0.01605308219178082,0.021404109589041095,0.17123287671232876,0.36469618850288477,0.10377539081456541,0.12286669120943787,0.31001910800995264,0.3124353392727065,0.05595663419681451,0.0392650077347653,0.03585253913445771,0,0,0.014154836004833887,0.009267507374888474,0.010700909393458293,0.03024405488708019
-4.850000072270632,20921,45.54753596864395,2.0123321064958652,2.8488121982696812,24.367860044930932,24.02370823574399,0.516227713780412,0.26289374312891356,0.21987476698054587,0,0,0.009559772477415037,0.014339658716122557,0.023899431193537594,0.1529563596386406,0.3443102822771747,0.09708325284035138,0.11501771827310563,0.2968046292936848,0.29537099707910275,0.049545653452081936,0.03540195837102453,0.0323831057972878,0,0,0.0067594568278668095,0.008278412207969653,0.010686873274551766,0.02701843284134983
-4.750000070780516,23736,44.94438827098079,2.1528479946073475,2.8774856757667675,24.502864846646442,24.144759015840915,0.5224132119986519,0.3538928210313448,0.24856757667677787,0.0042130097741826765,0.008426019548365353,0.06319514661274014,0.0042130097741826765,0.008426019548365353,0.16430738119312438,0.3228752581740755,0.09420566322693327,0.10850825442097528,0.27917074248906976,0.2777796760652434,0.04679138819187694,0.03854448774016254,0.03232049793240405,0.004212921025991137,0.005957844540623339,0.016311760128301846,0.004212921025991137,0.005957844540623339,0.02628861388981238
-4.6500000692903996,27243,46.23573027933781,1.897735198032522,2.7860367800902983,23.88503468780971,23.70884263847594,0.5726241603347648,0.3707374371398157,0.3009947509451969,0.011012003083360864,0.003670667694453621,0.02202400616672173,0.033036009250082585,0.007341335388907242,0.16518004625041297,0.30207046990266245,0.0826665585272605,0.09970806358208294,0.25832741603626147,0.2576705672504374,0.04571517193121515,0.03682130821463141,0.03318924769931297,0.006357432875230769,0.003670600324828771,0.00899027269406368,0.011010183969929213,0.0051909174846380855,0.024603242431296978
-4.550000067800283,30270,45.794516022464485,1.9557317476048892,2.8873472084572183,24.05682193591014,23.984142715559962,0.548397753551371,0.30393128510075984,0.2477700693756194,0.009910802775024777,0,0.013214403700033038,0.019821605550049554,0.013214403700033038,0.16518004625041297,0.2863664524890372,0.07959018921381884,0.09624567091007694,0.24567292697351617,0.24541889041507886,0.04244705023094213,0.03163883687513074,0.028574557731141613,0.005721721094722196,0,0.0066067652844307885,0.008091334544613969,0.0066067652844307885,0.023340685172459158
-4.450000066310167,33919,45.564432913706185,1.978242283086176,2.889236121347917,23.859783602110912,24.44352722662814,0.5395206226598661,0.2653380111441965,0.2211150092868304,0.0029482001238244054,0.0029482001238244054,0.035378401485892864,0.008844600371473216,0.014741000619122025,0.1739438073056399,0.2704162840404096,0.07561003919068345,0.09095020516992457,0.23142953550217937,0.23334379425668886,0.03977477934368871,0.027931951217655505,0.025503918684298073,0.002948156664084232,0.002948156664084232,0.010211058076718946,0.0051062065785815,0.006591889979151801,0.022625851002705456
-4.350000064820051,37929,45.782910174272985,1.8930106251153471,2.9317936143847714,24.606501621450604,23.462258430224896,0.5220279996836193,0.30847109072213874,0.26365050489071684,0.0026365050489071686,0,0.018455535342350178,0.013182525244535842,0.013182525244535842,0.18191884837459463,0.2558197689961166,0.06997466110214406,0.08662026407220035,0.22115979979648895,0.2175890481316834,0.03700195443087015,0.02847414330943825,0.026330271756001306,0.0026364702928837165,0,0.006974892973753323,0.00589501591797672,0.00589501591797672,0.02188052615745897
-4.250000063329935,42389,46.167637830569255,2.0052372077661658,2.6563495246408264,23.659439949043385,24.138337776309893,0.5709028285640142,0.3326334662294463,0.2406284649319399,0.009436410389487839,0.0070773077921158795,0.035386538960579396,0.0070773077921158795,0.004718205194743919,0.16513718181603718,0.24213856268796966,0.06808598497350692,0.07810338171652326,0.2064207327023632,0.20784437319885038,0.036594115943428304,0.02796616249231686,0.023797085276671185,0.004717982574889368,0.0040859409639317085,0.009135148336111018,0.0040859409639317085,0.003336196181157075,0.019721364568738117
-4.150000061839819,47443,45.840271483675146,1.8927976729970701,2.7106211664523743,24.094176169297896,24.106822924351327,0.5838585249668022,0.2508273085597454,0.26558185612208335,0.0042155850178108465,0.00632337752671627,0.021077925089054234,0.02950909512467593,0.01897013258014881,0.17494677823915014,0.22875771941139275,0.06256284225859339,0.07455573504319885,0.19633942652381983,0.1963745867733364,0.034978098217609284,0.02296444683184394,0.023628473127149104,0.002980805921572009,0.0036506882883615894,0.0066647226595002475,0.007885473687207515,0.006322777721718789,0.01918609886729356
-4.050000060349703,52874,45.822143208382194,2.070961152929606,2.9371713885841815,24.123387676362672,23.692173847259525,0.5257782653099823,0.27234557627567424,0.31395392820668,0.013239021068956386,0,0.04160835193100579,0.01702159851722964,0.01134773234481976,0.15886825282747666,0.21668434034767498,0.061932789142711143,0.0734294090143124,0.18605957777972118,0.1849123478095905,0.03145107586982125,0.022664538571756154,0.024329269131095912,0.005003548378183774,0,0.00886908472207569,0.005673383260499037,0.004632429470193763,0.01732017293597389
-3.9500000588595867,57907,45.541989742172795,1.9617662804151486,2.9081112818830195,24.288946068696358,23.94529158823631,0.562971661457164,0.302208713972404,0.2607629474847601,0.006907627747940664,0.001726906936985166,0.043172673424629146,0.01726906936985166,0.01208834855889616,0.1467870896437391,0.2069528217639545,0.057630957997517475,0.06982829731381766,0.17820441039313517,0.1773403596181586,0.03109222505507856,0.02281028580764411,0.02119290193848438,0.0034536945836075024,0.0017268920258829456,0.008632670603980085,0.00546048767924042,0.004568690127983356,0.015909605784912885
-3.8500000573694706,64088,45.6793783547622,1.9863312944701037,2.741542878542005,24.350892522781177,23.8172512794907,0.6459867681937336,0.27930345774559984,0.24653601298214953,0.0031207090250905,0.007801772562726251,0.024965672200724,0.029646735738359756,0.014043190612907252,0.17319935089252278,0.19676783121277594,0.05511639523792821,0.0645019508369079,0.1695395346633077,0.16826189629437913,0.031645805828033786,0.020846946335868297,0.01958916018618437,0.0022066400815375655,0.003488922652180509,0.006240638895562126,0.006800419360907807,0.004680734840757813,0.0164251122782158
-3.7500000558793545,70105,45.632979102774414,1.9984309250410097,2.834319948648456,23.932672419941518,24.149490050638327,0.6575850509949361,0.272448470151915,0.2881392197418159,0.004279295342700235,0.0071321589045003925,0.02995506739890165,0.01569074958990086,0.012837886028100706,0.16403965480350904,0.18811900900837117,0.05285506223809469,0.0626767382315717,0.16114624153066587,0.1616436832720161,0.030525924493605604,0.019686806299928326,0.02024417586978686,0.0024705994542295467,0.0031894846817163685,0.0065357524951565,0.004730567831827054,0.004279020648354265,0.015284225145312464
-3.6500000543892384,77096,45.94401784787797,1.9741620836359866,2.8380201307460826,23.84948635467469,23.96362976029885,0.587579122133444,0.2866555982152122,0.3164885337760714,0.012970841548199646,0.003891252464459894,0.03372418802531908,0.0220504306319394,0.010376673238559718,0.15694718273321573,0.17948181153001355,0.0501009270403983,0.059805343723243067,0.15348290500355088,0.1537344030791946,0.027525649784032748,0.019254885138875362,0.02022901475858586,0.004101474222404876,0.0022465719466719064,0.00661274208730179,0.005347425312963949,0.0036685176567121916,0.014256724752687166
-3.5500000528991222,83202,45.833032859787025,1.9711064637869282,2.995120309607942,24.02826855123675,23.83356169322853,0.5588807961347083,0.26922429749284876,0.2848489219009159,0.0024037883704718637,0.0012018941852359319,0.03725871974231389,0.02043220114901084,0.012018941852359319,0.15264056152496333,0.1727387112088439,0.04819091900942625,0.05909313677265323,0.14812227298438363,0.147709835665217,0.025844950952517185,0.017964074261549733,0.018476554307622288,0.0016997146281584284,0.0012018869624660668,0.006690616844951576,0.004955030388069752,0.003800494721642941,0.013534318317035393
-3.450000051409006,90844,45.89075778257232,1.9638060851569723,2.8213200651666592,24.15129232530492,23.76271410329796,0.5911232442428779,0.31372462683281227,0.272995464752763,0.004403152657302629,0.0022015763286513143,0.022015763286513144,0.014310246136233542,0.017612610629210514,0.17172295363480253,0.16532944816973472,0.04603566250204865,0.05493682446979436,0.14200255409813922,0.1412159039892611,0.025433344712701558,0.018554269745335132,0.017311550980816787,0.0022015278587344486,0.0015567324146799992,0.0049223323945098586,0.003968664176613572,0.004402764885161207,0.013737029736569373
-3.35000004991889,97206,45.780095878855214,1.9000884719050264,2.8022961545583605,24.248503178816122,23.834948459971606,0.5750673826718515,0.30450795218402155,0.33022652922659096,0.0072012015719194284,0.008229944653622204,0.023661090879163838,0.019546118552352734,0.0072012015719194284,0.15842643458222744,0.15979794330429384,0.04378997358072751,0.05293445937634106,0.13746481151014578,0.1366590642160031,0.024252721752459856,0.017672196981533876,0.018400989580080285,0.002721700354306328,0.002909605099847681,0.004933094785012772,0.0044837488683256085,0.002721700354306328,0.012756249251881046
-3.250000048428774,103867,45.81724705633165,2.0256674400916554,2.8209152088728855,24.075981784397353,23.811220118035564,0.6132842962634908,0.2936447572376212,0.2994213754127875,0.008664927262749478,0.006739387871027371,0.030808630267553698,0.017329854525498956,0.014441545437915794,0.16463361799224008,0.15459884143660185,0.04371207637648387,0.05137391046342216,0.13266085786130885,0.1321592423418894,0.024224582325529737,0.01678934494991732,0.016953190646131634,0.0028881839499315474,0.0025471633491300975,0.005445408823505265,0.004084331933589368,0.003728521741058308,0.012579479600831864
-3.1500000469386578,111073,45.99047473283336,1.9176577566105173,2.9251033104354796,23.822171004654596,23.845579033608526,0.6617269723515166,0.286298200282697,0.31510808207215074,0.008102779253283876,0.006302161641443016,0.03691266104273765,0.020707102536169905,0.012604323282886031,0.15125187939463236,0.14954258212179625,0.041150651361927984,0.05056148516488316,0.12782055933429623,0.12786369353647595,0.024327275327137403,0.016031807065344194,0.016816677333908403,0.0027008169904918725,0.00238191814391337,0.005763725069623569,0.004317282290682576,0.0033684347897747196,0.011660507454904514
-3.0500000454485416,117586,45.84134165631963,1.9645195856649602,2.9255183440205466,23.958634531321756,23.755379041722655,0.661643392920926,0.2797952137159186,0.37079244127702277,0.006803531032605922,0.006803531032605922,0.04252206895378701,0.015307944823363326,0.02211147585596925,0.14882724133825456,0.14530641902370348,0.04047082090996446,0.049144638460734205,0.12447386541432331,0.1241102866282813,0.02364246022463065,0.015404014291813543,0.017724784581996195,0.002405329636734834,0.002405329636734834,0.006012249987114811,0.0036078410220121626,0.004335937737649491,0.011241907109039684
-2.9500000439584255,123479,46.08313964317819,1.9881923242008763,2.9025178370411164,23.873695122247508,23.677710379902656,0.6365454854671645,0.2810194446019161,0.33123041164894435,0.007288688764891197,0.0024295629216303984,0.03968286105329651,0.016197086144202656,0.012957668915362128,0.1473934839122442,0.1418524285734944,0.03972572612052932,0.04777436034942658,0.12131950924095256,0.12097593724269519,0.02263244691184613,0.015064702123118372,0.016351142325669407,0.0024294743783771066,0.0014026917668664102,0.0056678552321017825,0.0036214852424106677,0.003239207345561666,0.01091747719282501
-2.8500000424683094,129975,46.06424312367763,1.981150221196384,2.9228697826505097,23.90536641661858,23.52221581073283,0.6939796114637431,0.2815926139642239,0.39392190805924215,0.006924408540103866,0.006155029813425659,0.03308328524716292,0.013079438353529526,0.011540680900173109,0.16387766878245816,0.13825805582484274,0.03865303424721261,0.046723275957955626,0.11830274028323805,0.11764591458652743,0.023026675022896678,0.014698343189859702,0.017374730405809297,0.0023080562662618257,0.002176064687932559,0.005044319081767219,0.003172022294495844,0.0029796190463046665,0.011219508395282551
-2.7500000409781933,134999,46.42404758553767,1.9089030289113254,2.8992807354128547,23.68313839361773,23.529803924473512,0.6614863813806028,0.28444655145593667,0.3925955007074126,0.007407462277498352,0.0066667160497485166,0.029629849109993407,0.014814924554996703,0.011111193416247528,0.14666775309446736,0.13573479011068135,0.037242725278997815,0.04566580129950215,0.11570832370605161,0.1154489480946833,0.022062463624162133,0.014494943028347886,0.01701975073053319,0.00234235848838655,0.002222164606843389,0.004684196381322105,0.0033124724412368902,0.0028687384150215055,0.01041557678347718
-2.650000039488077,140239,46.42859689530017,1.8696653569976969,3.0212708305107707,23.71736820713211,23.33944195266652,0.7194860202939268,0.281662019837563,0.3964660329865444,0.009982957665128816,0.0071306840465205825,0.02923580459073439,0.018539778520953516,0.014261368093041165,0.14689209135832398,0.13317566898938854,0.03617005568173916,0.04570867899009304,0.11358256679503713,0.11295275260959413,0.02256881649102817,0.014151981665504307,0.016780541195688604,0.002667924484684087,0.0022548398891493143,0.004565198102215508,0.0036356126457121915,0.0031887114495568482,0.010226937392408635
-2.550000037997961,144239,46.383433052087156,2.0022324059373675,3.088623742538426,23.435409285976746,23.316856051414668,0.7695560839994731,0.2835571516718779,0.45133424385915044,0.005546350154951157,0.007626231463057841,0.04229091993150257,0.018718931772960155,0.009012819001795631,0.18580273019086377,0.13130751876425384,0.036882808434469706,0.04555421130495771,0.11153441726617291,0.11133804713705313,0.023009185940849712,0.014001105885896124,0.017649219862043396,0.001960876521899383,0.002299307622212099,0.005413652332615483,0.0036021229125493413,0.0024995935848817308,0.011339159217511009
-2.450000036507845,148404,46.87474731139322,1.9406485000404303,2.9453384005821945,23.57483625778281,22.953559203255978,0.7634565106061831,0.27694671302660306,0.44136276650225065,0.008086035416835126,0.006738362847362605,0.03301797795207676,0.017519743403142773,0.01617207083367025,0.14757014635724106,0.12953799501062604,0.03580924343050529,0.043888728213144226,0.11018430280856169,0.10916376497265307,0.022594626288548275,0.013641844275493451,0.01720737069869083,0.0023341429867555414,0.002130785636170195,0.00471607522395931,0.003435603370838986,0.0033008431958256234,0.009964505917574197
-2.350000035017729,151432,47.02704844418617,1.8655237994611444,3.0937978762744995,23.16221142162819,23.15824924718686,0.7422473453431243,0.28593692218289396,0.44046172539489675,0.00924507369644461,0.011226160917111311,0.02311268424111152,0.026414496275556025,0.011226160917111311,0.14329864229489145,0.1282602605283975,0.03476981438268155,0.044495175704169415,0.1084098167291275,0.1084033387568682,0.02205706466106335,0.013721591830127439,0.0170171448522667,0.002470735659097655,0.0027225911206917113,0.003906305180655905,0.004175946936879029,0.0027225911206917113,0.009720773333716246
-2.2500000335276127,153208,47.38133778914939,1.8752284476006476,3.061197848676309,22.87478460654796,22.93483369014673,0.8517831966999113,0.3054670774372095,0.4771291316380346,0.00652707430421388,0.011096026317163594,0.03459349381233356,0.019581222912641638,0.014359563469270534,0.1520808312881834,0.12756538345056306,0.03465578168128484,0.044010246654650434,0.10730895855374181,0.1074078778575518,0.023478279393027945,0.014098637842192166,0.017605107969331898,0.002063974763966642,0.0026910323669972224,0.004750959844249256,0.003574675796905634,0.003061249403503201,0.009955567620742366
-2.1500000320374966,155089,47.14131885562484,1.9298596289872267,3.154962634358336,23.22601860866986,22.651509778256358,0.9007731044754947,0.28886639284539845,0.4861724558156929,0.009027074776418701,0.00967186583187718,0.025791642218339145,0.011606238998252616,0.014185403220086532,0.15023631592182554,0.12675600060025272,0.034933392314439426,0.04438592732323118,0.10722694150334627,0.10628794239614596,0.023991220405076997,0.013627928243728517,0.017662264837864927,0.0024124783200984096,0.002497144250592887,0.0040774907726534694,0.0027354580108622005,0.003024123613428791,0.009834912162326934
-2.0500000305473804,155152,47.61330823966175,1.9374548829534908,3.25938434567392,22.90270186655667,22.30586779416314,0.8746261730432093,0.2835928637723007,0.5865216046199856,0.005156233886769104,0.010956997009384345,0.03287099102815304,0.025136640197999383,0.015468701660307312,0.14695266577291946,0.12679320404905683,0.03499360539779958,0.04508099801429173,0.10668030532512401,0.10568783046812766,0.023638774875021886,0.013500575162020675,0.01938589931173115,0.001822956973578973,0.0026573165251815908,0.004602102842969397,0.004024577870559037,0.003157291279939556,0.009725024562104709
-1.9500000290572643,153902,47.88956608751023,1.8836662291588153,3.2800093566035526,22.545515977700095,22.32134735091162,0.9895907785473872,0.271601408688646,0.588686306870606,0.011045990305519096,0.008446933763044015,0.03378773505217606,0.019492924068563112,0.011695754441137867,0.14554716637860457,0.12733877391534498,0.03465377090752633,0.04540184820937584,0.10652002023615176,0.10614240238883291,0.025231676960258194,0.013266406481276413,0.01950014055166697,0.002678898195218395,0.002342658960237103,0.004684724184152928,0.0035585578571577198,0.002756554544740255,0.009717699463584355
-1.8500000275671482,152684,47.99782557438893,1.90917188441487,3.3985224385004322,22.441120222158183,22.078279321998377,1.0171334258992428,0.25673940949935814,0.6549474732126483,0.010479159571402373,0.012444001991040319,0.02750779387493123,0.02750779387493123,0.009824212098189726,0.1584972885174609,0.1278570762024479,0.03502191994998036,0.04637033045883795,0.10676803884728403,0.10614880621160147,0.0256786514438423,0.012950641608972668,0.02064332228403575,0.002619652623272671,0.002854672214748841,0.004243960914506433,0.004243960914506433,0.002536476052818526,0.010180514069214044
-1.750000026077032,150574,48.60799341187722,1.856230159257242,3.533146492754393,22.112051217341637,21.652476523171334,1.061272198387504,0.2702989892013229,0.6867055401330907,0.007305378086522241,0.01261838033126569,0.04117576739676172,0.019259633137195,0.008633628647708103,0.13083268027680742,0.12880319629782722,0.034783420453173154,0.0475767624230548,0.10694848954864883,0.10614301777767182,0.026407151725941363,0.013380103582039983,0.02128207533288162,0.002202573911931975,0.0028946723362872477,0.005228250969968068,0.003576079668913645,0.002394434382529839,0.009315342769427536
-1.650000024586916,147717,48.61525755329448,1.8819770236330282,3.6657933751700886,21.696216413818313,21.725326130370913,1.2138074832280643,0.2633413892781467,0.7223271525958421,0.012862432895333644,0.014216373200105607,0.0324945673145271,0.01963213441919346,0.015570313504877569,0.12117765727709065,0.13004334980364474,0.03535625955381028,0.04889438794686903,0.1072427979917174,0.10729476829494614,0.028491006334923623,0.01333434627250333,0.022033197377777612,0.002950654700745329,0.0031020464437718728,0.004689424706693286,0.003645237968406288,0.003246382031706891,0.00905175400951553
-1.5500000230967999,142717,49.22398873294702,1.8967607222685454,3.823651001632602,21.50479620507718,21.09979890272357,1.1897671615855154,0.2732680759825389,0.7847698592319066,0.01261237273765564,0.009108935866084628,0.023823370726682877,0.020319933855111865,0.016115809609226654,0.12121891575635699,0.1323365590610756,0.036108553721406006,0.05076161281437935,0.10875553578462017,0.10800412906323342,0.028700806210038614,0.013818547291768329,0.02335729121052599,0.0029725772892185234,0.0025262491910898062,0.004085187671286387,0.0037729336017251753,0.0033601078107044716,0.009210515979944824
-1.4500000216066837,136777,49.3094599238176,1.9308801918451202,4.024799491142517,21.11758555897556,20.97063102714638,1.2224277473551841,0.2697822002237218,0.9255942154017124,0.008042287811547262,0.00950452195910131,0.03290026831996608,0.02047127806575667,0.016084575623094524,0.14183671231274264,0.13518298911050805,0.0372080804413721,0.05314288185363588,0.110358475328075,0.11007621040198934,0.02971216078854426,0.014025343060746239,0.02589312793129569,0.0024247435032339008,0.002635954821487566,0.004903675569118708,0.003868311905729354,0.0034289672444335075,0.01017605810049326
-1.3500000201165676,131604,49.965046655116865,1.866964529953497,4.325856356949637,20.60727637457828,20.40515485851494,1.3495030546184006,0.2606303759764141,0.9718549588158414,0.010637974529649555,0.026594936324123887,0.028874502294763075,0.015197106470927934,0.011397829853195951,0.15501048600346495,0.13782733330232963,0.037311362209261144,0.05607881063823234,0.11149775001773023,0.1110907436125985,0.03180548553982181,0.014054366676367077,0.027042416958915814,0.002842967055105381,0.004494766908271946,0.0046833864979670715,0.003397918090982556,0.002942739295075963,0.010844489985822678
-1.2500000186264515,123966,50.57354435893713,1.8634141619476308,4.617395092202701,19.949824952002967,19.899811238565412,1.4899246567607247,0.24200183921397803,1.1156284787764388,0.007260055176419341,0.02016681993449817,0.03468693028733685,0.020973492731878096,0.01936014713711824,0.14600777632576675,0.14200058577016106,0.03840775072322402,0.059604879441347715,0.1135009230887987,0.11339396834445276,0.03440893138559896,0.013955066233160831,0.029831310382862762,0.0024199305432100067,0.00403295726576665,0.005288789779937741,0.004112808967223975,0.003951490923150837,0.010844746777907553
-1.1500000171363354,116728,51.249914330751835,1.841032143101912,4.959392776368995,19.356966623260917,19.446919333835925,1.5043519978068673,0.23901720238503188,1.183949009663491,0.006853539853334247,0.017990542115002398,0.02056061956000274,0.035124391748338014,0.016277157151668838,0.1216503323966829,0.14630081358757246,0.039346685579354765,0.06354499231763369,0.11564172359861645,0.11584544475512731,0.0356283518211751,0.014292474191465258,0.031658674240906126,0.0024230092174931024,0.003925504987071708,0.004196487414681262,0.0054845449330484936,0.0037339320271811693,0.010202457788231058
