,Cylinder ID: 1
Distance (nm),Ion Count,Ni ion%,Mo ion%,Nb ion%,Cr ion%,Fe ion%,Al ion%,Si ion%,Ti ion%,H2 ion%,O ion%,H ion%,P ion%,B ion%,Mn ion%,Ni ion% Sigma,Mo ion% Sigma,Nb ion% Sigma,Cr ion% Sigma,Fe ion% Sigma,Al ion% Sigma,Si ion% Sigma,Ti ion% Sigma,H2 ion% Sigma,O ion% Sigma,H ion% Sigma,P ion% Sigma,B ion% Sigma,Mn ion% Sigma
0,167,43.712574850299404,3.592814371257485,4.191616766467066,23.952095808383234,23.952095808383234,0.5988023952095809,0,0,0,0,0,0,0,0,3.8384037077766755,1.4401703201408422,1.5507232724902875,3.3026089190217665,3.3026089190217665,0.5970068817367302,0,0,0,0,0,0,0,0
0.1,148,39.86486486486486,4.72972972972973,2.7027027027027026,24.324324324324326,26.351351351351347,0,1.3513513513513513,0,0.6756756756756757,0,0,0,0,0,4.024652944406838,1.7448817617664414,1.3329647619353295,3.526693266493298,3.621203899680222,0,0.9490713265293123,0,0.6733891186081918,0,0,0,0,0
0.2,170,40.588235294117645,1.1764705882352942,0.5882352941176471,24.705882352941178,32.35294117647059,0,0,0,0,0,0.5882352941176471,0,0,0,3.7662734625661534,0.8269823804174203,0.5865026385303421,3.3079295216696813,3.588036752122492,0,0,0,0,0,0.5865026385303421,0,0,0
0.30000000000000004,156,42.30769230769231,1.282051282051282,1.9230769230769231,28.205128205128204,25.64102564102564,0,0.641025641025641,0,0,0,0,0,0,0,3.9555449577280877,0.9007172096528768,1.0995612978785878,3.6028688386115073,3.496005383601688,0,0.6389677684886641,0,0,0,0,0,0,0
0.4,143,44.05594405594406,2.797202797202797,4.895104895104895,21.678321678321677,25.174825174825177,0.6993006993006993,0,0,0,0,0,0,0.6993006993006993,0,4.151558978334156,1.3789018034065248,1.8043235517931122,3.445766163692595,3.6294355018699958,0.6968513022852836,0,0,0,0,0,0,0.6968513022852836,0
0.5,128,51.5625,0.78125,0.78125,19.53125,22.65625,1.5625,0.78125,0,0,0,0.78125,0,0,1.5625,4.417258936679157,0.7781922583256459,0.7781922583256459,3.504077171486163,3.699999298920436,1.0961886875314282,0.7781922583256459,0,0,0,0.7781922583256459,0,0,1.0961886875314282
0.6000000000000001,153,37.908496732026144,1.9607843137254901,5.228758169934641,29.411764705882355,24.836601307189543,0.6535947712418301,0,0,0,0,0,0,0,0,3.9222805397065414,1.1209057852451556,1.7996657369259987,3.6836723005008793,3.493040107273885,0.6514553390818318,0,0,0,0,0,0,0,0
0.7000000000000001,130,45.38461538461539,1.5384615384615385,2.307692307692308,28.46153846153846,21.53846153846154,0,0,0,0,0,0,0,0,0.7692307692307693,4.366567235476744,1.0794560237624975,1.31688381294119,3.9575581773810335,3.605488154725288,0,0,0,0,0,0,0,0,0.7662664777836533
0.8,155,52.903225806451616,1.935483870967742,1.2903225806451613,20.64516129032258,21.935483870967744,0,0,0.6451612903225806,0,0,0,0,0,0.6451612903225806,4.009320817647019,1.1065852423530393,0.9064903099045929,3.251097526175136,3.323797802983507,0,0,0.643076757279471,0,0,0,0,0,0.643076757279471
0.9,141,48.93617021276596,4.25531914893617,3.546099290780142,20.56737588652482,21.27659574468085,0.7092198581560284,0,0,0,0,0,0,0,0.7092198581560284,4.209806405636096,1.6998626849722576,1.5574918664859239,3.403919974093781,3.4466203489337923,0.7067004190808703,0,0,0,0,0,0,0,0.7067004190808703
