,Concentration (Al)
Distance (nm),Ion Count,Ni ion%,Mo ion%,Nb ion%,Cr ion%,Fe ion%,Al ion%,Si ion%,Ti ion%,H2 ion%,O ion%,H ion%,P ion%,Ni ion% Sigma,Mo ion% Sigma,Nb ion% Sigma,Cr ion% Sigma,Fe ion% Sigma,Al ion% Sigma,Si ion% Sigma,Ti ion% Sigma,H2 ion% Sigma,O ion% Sigma,H ion% Sigma,P ion% Sigma
-4.950000073760748,54437,49.2348953836545,2.0041515880742877,5.2886823300328825,21.134522475522164,20.783658173668645,0.4151588074287709,0.26636295166890167,0.8211326854896487,0.003673971747157264,0.005510957620735896,0.01836985873578632,0.023880816356522217,0.21427527481805092,0.060065075941820104,0.09592406803103434,0.17498168598697458,0.17390869464754038,0.027558568428353126,0.0220907594318196,0.03867845786829324,0.0025978426129858612,0.003181665192090541,0.005808525807554973,0.006622555857631348
-4.850000072270632,56768,49.75866685456595,1.9958427282976323,5.261767192784667,21.02240698985344,20.451662908680948,0.445673618940248,0.24661781285231116,0.7468996617812852,0.0035231116121758736,0.017615558060879367,0.02642333709131905,0.02290022547914318,0.20985201736551884,0.058699393012395684,0.09370799747619453,0.17101782144935035,0.1692887385089123,0.027956753411146826,0.020817292229903833,0.036136940052058794,0.002491172227298041,0.005570037911275131,0.006821574877887736,0.006350652501655957
-4.750000070780516,59650,49.6663872590109,2.0586756077116513,5.081307627829003,20.819782062028498,20.875104777870916,0.4241408214585079,0.20955574182732606,0.7946353730092205,0,0.016764459346186086,0.028499580888516347,0.025146689019279127,0.20471756769682906,0.058139557440431984,0.0899204338216853,0.16624217487045148,0.16640473580673826,0.026608895244060012,0.01872358628977657,0.0363535060241723,0,0.005300943134420302,0.006911178625044549,0.006492030766221032
-4.6500000692903996,62196,49.2571869573606,1.9358158080905525,5.133770660492636,21.30362081162776,20.87594057495659,0.4164254936008746,0.2781529358801209,0.734773940446331,0.0048234613158402466,0.016078204386134155,0.020901665701974402,0.02250948614058782,0.20046605566764936,0.05524665631853613,0.08848972060284054,0.16418098608153778,0.1629656520840798,0.025821489021085553,0.021118144328445523,0.03424476680213481,0.0027847595257971727,0.005083965900084211,0.005796473158458546,0.006015236107061831
-4.550000067800283,65302,48.8943677069615,2.007595479464641,5.097853051973906,21.49245046093535,21.03610915439037,0.46399803987626714,0.24807815993384583,0.7028881198125632,0,0.015313466662583076,0.016844813328841385,0.02450154666013292,0.19561428149846677,0.05488719925522612,0.08607329600607357,0.16074424636338486,0.15949010218096318,0.026594077371689007,0.01946666971972485,0.03269250272849386,0,0.0048421725578550725,0.005078474532117658,0.00612463621182633
-4.450000066310167,68531,48.95886533101808,1.965533845996702,4.878084370576819,21.542075848885904,21.257533087216004,0.4085742218849863,0.2538996950285272,0.677065853409406,0.001459193649589237,0.017510323795070844,0.020428711094249315,0.01896951744466008,0.19095555541495346,0.05302566489802762,0.08228514014353966,0.15704302330974496,0.15628503906574404,0.024367048154435952,0.019223635260468514,0.03132540478310958,0.0014591830033198643,0.005054352503473213,0.005459244985574673,0.005260698488867048
-4.350000064820051,71350,48.75683251576734,1.9831814996496147,4.913805185704274,21.50385423966363,21.351086194814293,0.4470918009810792,0.27610371408549406,0.6937631394533987,0.004204625087596356,0.015416958654519973,0.036440084092501754,0.018220042046250877,0.18712798308843676,0.05219567801212266,0.08092276480443052,0.15381026894845704,0.15341201093320883,0.024976313662007952,0.019644399373257918,0.03107398018588077,0.002427490391120838,0.004648029599389646,0.007145186244487707,0.005052870068706025
-4.250000063329935,73926,48.60130400670941,2.002002002002002,4.913021129237345,21.689256824391958,21.411952493033574,0.3719936152368585,0.25971917863809757,0.6668830993155317,0.002705408110813516,0.020290560831101374,0.035170305440575714,0.025701377052728406,0.1838236593936312,0.0515160138787801,0.07949434522432582,0.15157738291620138,0.15087169901389536,0.02239029723323799,0.01871926100349785,0.029934587865506204,0.0019129865434616995,0.005238468740703949,0.006896251338324524,0.005895542514160327
-4.150000061839819,77020,48.94832511036095,1.9241755388210855,4.755907556478837,21.576213970397298,21.503505582965463,0.39080758244611785,0.23240716696961827,0.5959491041287978,0.0025967281225655675,0.01428200467411062,0.04284601402233186,0.012983640612827837,0.18012423869353267,0.04949958653855414,0.07668915790750565,0.14822100900884158,0.14803963541165727,0.022481715262382726,0.017350729858210776,0.027733512037368697,0.0018361402241148395,0.004305878916702962,0.00745693567466797,0.004105521116750389
-4.050000060349703,80829,48.373727251357806,1.9720644818072723,4.645609867745487,22.145517079266106,21.487337465513615,0.41198084845785543,0.2486731247448317,0.6544680745771938,0.00247435945019733,0.00989743780078932,0.029692313402367963,0.018557695876479978,0.17577477821120502,0.04890484433957218,0.0740300616855878,0.14604985225610223,0.14446995986373284,0.02252985818245708,0.0175182275620882,0.028361865942130648,0.0017496147000475072,0.0034990995192009417,0.006060018213015563,0.004791131847849022
-3.9500000588595867,83621,48.31920211430143,1.9672091938627856,4.732064911924038,21.94783606988675,21.697898853158897,0.3886583513710671,0.26787529448344316,0.6027194125877471,0.002391743700745028,0.021525693306705253,0.033484411810430395,0.019133949605960224,0.17280917772072985,0.04802344125886666,0.07342450786826582,0.14312999280885857,0.14254036605303305,0.021516950384223806,0.017874182505662976,0.026766227363240254,0.0016911979647338269,0.005073108469920592,0.006326899503344244,0.004783029744562644
-3.8500000573694706,86623,48.10500675340268,1.9983145354005287,4.459554621751729,22.201955600706512,21.854472830541543,0.4363737113699595,0.2551285455364049,0.6130011659720859,0.005772139039285178,0.01038985027071332,0.0357872620435681,0.024242983964997748,0.16976230353267074,0.04754798159007628,0.07013305614827742,0.14120931452118562,0.1404124508510854,0.02239561703366456,0.017139896844793626,0.026520324166859365,0.0025813045520152508,0.00346310350391656,0.006426431777320015,0.005289611517426411
-3.7500000558793545,89249,48.12378850183195,1.9428789118085357,4.459433719145313,22.219856805118265,21.952066689822853,0.4044863247767482,0.29804255509865657,0.5456643771919013,0.004481842933814384,0.0067227644007215774,0.029131979069793496,0.013445528801443155,0.1672485462369685,0.04620199800929264,0.06909268703623969,0.1391564425471544,0.13855325439296373,0.021245655260203576,0.0182469088268547,0.024658859276038274,0.002240871249054306,0.002744464817182369,0.005712418891913321,0.003881128890989188
-3.6500000543892384,93065,48.03094611293182,1.9158652554666094,4.483962821683769,22.0437328748724,22.23069897383549,0.4136893569010906,0.27937463063450274,0.5404824584967496,0.004298071240530812,0.01396873153172514,0.023639391822919464,0.019341320582388653,0.1637720499250239,0.04493540626560353,0.06783845659204985,0.13588605687368496,0.13629736691984695,0.02103990646518614,0.017301859818686986,0.024033708254302615,0.0021489894362281734,0.003873958461054355,0.005039339530624817,0.004558352093601458
-3.5500000528991222,95711,47.99761782867173,1.9788739016413994,4.339104178203133,22.187627336460807,22.194941020363384,0.39075968279508105,0.2643374324790254,0.5683777204292088,0.008358495888664835,0.013582555819080357,0.03656841951290865,0.01985142773557898,0.16148810345191886,0.0450181845574476,0.06585463295173018,0.13430705725248185,0.13432287814042343,0.020166185661679336,0.01659677266791939,0.024299641067850715,0.0029550510550443916,0.0037668673445491884,0.006180060782724776,0.004553777800074942
-3.450000051409006,98407,48.11243102624813,1.9896958549696668,4.209050169195281,22.430314916621786,21.979127501092403,0.4237503429634071,0.24083652585690044,0.5497576391923339,0.004064751491255704,0.005080939364069629,0.0315018240572317,0.02438850894753422,0.1592748909703874,0.04451600883326074,0.06400903720928391,0.13296909212612074,0.13200720305120495,0.020707130376742964,0.015625163847364155,0.023570867318517465,0.0020323344396963876,0.002272207434582048,0.005657003383993737,0.004977676440815137
-3.35000004991889,101318,47.919422017805324,2.08452594800529,4.3062437079294895,22.308967804338813,22.129335359955782,0.38295268362975976,0.27339663238516354,0.5379103416964409,0,0.01085690597919422,0.03059673503227462,0.01579186324246432,0.15694604609089294,0.04488342748650899,0.06377460822757976,0.13079221054994153,0.13041508290186868,0.019404215400988134,0.016404341056401726,0.022979492468345054,0,0.0032733026155775057,0.005494495075516101,0.003947654069627331
-3.250000048428774,103500,47.639613526570045,2.0144927536231885,4.161352657004831,22.629951690821258,22.33816425120773,0.41932367149758454,0.22995169082125605,0.5169082125603864,0.001932367149758454,0.008695652173913044,0.020289855072463767,0.01932367149758454,0.15524419211509677,0.04367104683285567,0.06207509942593199,0.13006428940076448,0.12946649513439726,0.020085934898737744,0.014888406572263042,0.022290056957906753,0.0013663767134376153,0.0028984246979533615,0.00442716016655852,0.00432048680550067
-3.1500000469386578,105991,47.79273711918937,2.008661112735987,4.192808823390665,22.617958128520346,22.155654725401213,0.3981470124821919,0.26794727854251776,0.5094772197639422,0.0047173816644809465,0.011321715994754272,0.0264173373210933,0.01415214499344284,0.15343057735191945,0.04309359114087131,0.0615626193027805,0.12850271267502408,0.1275620043393433,0.019342871419769394,0.015878430020483846,0.02186848749755251,0.002109627454168163,0.003268112869690551,0.004991748015316794,0.0036538095511894388
