ROI,Top Level ROI
Ion(s),H2
Maximum d-pair (nm),3
Sample Width d-pair (nm),0.05
Order (ions),5
Sample Count,60


d-pair (nm),Count,Randomized Count
0.025000000372529,0,0
0.0750000011175871,0,0
0.125000001862645,0,0
0.175000006332994,0,0
0.225000003352761,0,0
0.275000000372529,1,2
0.325000012293458,12,8
0.374999994412065,61,43
0.425000006332994,267,180
0.475000018253922,837,628
0.525000000372529,2339,1722
0.575000012293458,5300,4101
0.625000024214387,10076,8193
0.675000036135316,16119,14067
0.7249999884516,21400,20712
0.775000000372529,25572,25666
0.825000012293458,25970,28046
0.875000024214387,24107,26779
0.925000036135316,19357,22173
0.9749999884516,14530,15955
1.02500000037253,9926,10407
1.0750000718981,6361,5921
1.12500002421439,3714,3159
1.17499997653067,2124,1553
1.22500004805624,1228,792
1.27500000037253,702,368
1.3250000718981,370,200
1.37500002421439,202,99
1.42499997653067,127,62
1.47500004805624,76,23
1.52500000037253,53,13
1.5750000718981,32,11
1.62500002421439,12,5
1.67499997653067,9,2
1.72500004805624,3,2
1.77500000037253,4,1
1.8250000718981,0,0
1.87500002421439,1,0
1.92499997653067,0,0
1.97500004805624,1,0
2.02500000037253,0,0
2.07499995268881,0,0
2.12500014342368,0,0
2.17500009573996,0,0
2.22500004805624,0,0
2.27500000037253,0,0
2.32499995268881,0,0
2.37500014342368,0,0
2.42500009573996,0,0
2.47500004805624,0,0
2.52500000037253,0,0
2.57499995268881,0,0
2.62500014342368,0,0
2.67500009573996,0,0
2.72500004805624,0,0
2.77500000037253,0,0
2.82499995268881,0,0
2.87500014342368,0,0
2.92500009573996,0,0
2.97500004805624,0,0

