ROI,Top Level ROI
Ion(s),H2
Maximum d-pair (nm),3
Sample Width d-pair (nm),0.05
Order (ions),1
Sample Count,60


d-pair (nm),Count,Randomized Count
0.025000000372529,180,234
0.0750000011175871,1406,1421
0.125000001862645,3887,3674
0.175000006332994,7130,6994
0.225000003352761,11071,10619
0.275000000372529,15295,14495
0.325000012293458,18745,18886
0.374999994412065,21263,21001
0.425000006332994,22374,22218
0.475000018253922,21305,21833
0.525000000372529,18809,19265
0.575000012293458,15680,16392
0.625000024214387,12071,12290
0.675000036135316,8368,8696
0.7249999884516,5554,5648
0.775000000372529,3444,3408
0.825000012293458,2012,1927
0.875000024214387,1099,1007
0.925000036135316,578,472
0.9749999884516,312,253
1.02500000037253,151,97
1.0750000718981,80,34
1.12500002421439,45,15
1.17499997653067,15,10
1.22500004805624,8,4
1.27500000037253,6,0
1.3250000718981,4,0
1.37500002421439,1,0
1.42499997653067,0,0
1.47500004805624,0,0
1.52500000037253,0,0
1.5750000718981,0,0
1.62500002421439,0,0
1.67499997653067,0,0
1.72500004805624,0,0
1.77500000037253,0,0
1.8250000718981,0,0
1.87500002421439,0,0
1.92499997653067,0,0
1.97500004805624,0,0
2.02500000037253,0,0
2.07499995268881,0,0
2.12500014342368,0,0
2.17500009573996,0,0
2.22500004805624,0,0
2.27500000037253,0,0
2.32499995268881,0,0
2.37500014342368,0,0
2.42500009573996,0,0
2.47500004805624,0,0
2.52500000037253,0,0
2.57499995268881,0,0
2.62500014342368,0,0
2.67500009573996,0,0
2.72500004805624,0,0
2.77500000037253,0,0
2.82499995268881,0,0
2.87500014342368,0,0
2.92500009573996,0,0
2.97500004805624,0,0

