,Cylinder ID: 0_both L12 and DO22
Distance (nm),Ion Count,Ni ion%,Mo ion%,Nb ion%,Cr ion%,Fe ion%,Al ion%,Si ion%,Ti ion%,H2 ion%,O ion%,O2 ion%,H ion%,Ni ion% Sigma,Mo ion% Sigma,Nb ion% Sigma,Cr ion% Sigma,Fe ion% Sigma,Al ion% Sigma,Si ion% Sigma,Ti ion% Sigma,H2 ion% Sigma,O ion% Sigma,O2 ion% Sigma,H ion% Sigma
1.5,270,45.18518518518518,1.8518518518518516,3.3333333333333335,22.22222222222222,26.296296296296294,0,0.3703703703703704,0,0,0,0.7407407407407408,0,3.0287618533107743,0.8204692196451393,1.0924356447224166,2.5301113002369378,2.679230424834591,0,0.36968386306955897,0,0,0,0.5218392587373616,0
1.6,258,43.798449612403104,1.937984496124031,3.875968992248062,26.356589147286826,21.31782945736434,1.550387596899225,0,0,0,0,1.1627906976744187,0,3.0888275621162062,0.8582537383999356,1.2017006095625542,2.742847727455353,2.549762941529419,0.7691610701904545,0,0,0,0,0.6674229844396348,0
1.7000000000000002,251,50.59760956175299,1.593625498007968,1.593625498007968,24.701195219123505,20.717131474103585,0.398406374501992,0.398406374501992,0,0,0,0,0,3.155746584443355,0.7904381446070169,0.7904381446070169,2.7221757736900356,2.5581006485024758,0.3976119442508959,0.3976119442508959,0,0,0,0,0
1.8,220,45.45454545454545,4.090909090909091,1.3636363636363635,23.636363636363637,25.454545454545453,0,0,0,0,0,0,0,3.3570406630727105,1.3354525482547555,0.7819094699731286,2.864324986073548,2.9368510201149314,0,0,0,0,0,0,0
1.9000000000000001,223,52.46636771300448,2.690582959641256,2.690582959641256,21.524663677130047,18.385650224215247,0.4484304932735426,0,0.4484304932735426,0,0,0.8968609865470852,0.4484304932735426,3.3441717122220602,1.0835481065044958,1.0835481065044958,2.7522149427377385,2.594002126547059,0.44742391401704823,0,0.44742391401704823,0,0,0.6313262395483293,0.44742391401704823
2,204,44.6078431372549,3.9215686274509802,3.9215686274509802,21.07843137254902,23.52941176470588,0.49019607843137253,0.9803921568627451,0.49019607843137253,0,0,0.49019607843137253,0.49019607843137253,3.4802838544699304,1.359026039379749,1.359026039379749,2.8556298609214896,2.9698715546905956,0.48899314145631173,0.6898353274124612,0.48899314145631173,0,0,0.48899314145631173,0.48899314145631173
2.1,196,48.97959183673469,0.5102040816326531,5.612244897959184,20.408163265306122,20.918367346938776,2.0408163265306123,0.5102040816326531,0,0,0,0.5102040816326531,0.5102040816326531,3.5706847562437,0.5089008762306465,1.6439859429504315,2.878778084275729,2.9051841789171693,1.0099421618477418,0.5089008762306465,0,0,0,0.5089008762306465,0.5089008762306465
2.2,148,48.64864864864865,0.6756756756756757,3.3783783783783785,17.56756756756757,25,2.027027027027027,1.3513513513513513,0,0,0,1.3513513513513513,0,4.108473321969177,0.6733891186081918,1.485116242084208,3.1280523757837972,3.5593424840718715,1.1583826800071608,0.9490713265293123,0,0,0,0.9490713265293123,0
2.3000000000000003,155,51.61290322580645,1.935483870967742,5.806451612903226,16.129032258064516,20.64516129032258,1.2903225806451613,0.6451612903225806,1.935483870967742,0,0,0,0,4.014006560246807,1.1065852423530393,1.8784521441307107,2.9542288379975834,3.251097526175136,0.9064903099045929,0.643076757279471,1.1065852423530393,0,0,0,0
2.4000000000000004,170,52.352941176470594,1.1764705882352942,4.117647058823529,16.470588235294116,21.176470588235293,1.1764705882352942,0,2.941176470588235,0,0.5882352941176471,0,0,3.830576417859227,0.8269823804174203,1.5239455150468024,2.844787334874708,3.133504101546171,0.8269823804174203,0,1.2958465959220764,0,0.5865026385303421,0,0
2.5,164,54.268292682926834,1.2195121951219512,4.878048780487805,20.121951219512198,14.634146341463413,1.8292682926829267,0,1.8292682926829267,0,0,1.2195121951219512,0,3.890091915000424,0.8570511323155212,1.6820601446280419,3.130594700254398,2.759966855362771,1.0464242446963268,0,1.0464242446963268,0,0,0.8570511323155212,0
2.6,148,54.729729729729726,0,6.756756756756757,15.54054054054054,14.18918918918919,2.7027027027027026,0,4.054054054054054,0,0,2.027027027027027,0,4.091545053343369,0,2.063226798733351,2.9780113691198746,2.8682627629831345,1.3329647619353295,0,1.6211650197199552,0,0,1.1583826800071608,0
2.7,122,54.91803278688525,3.278688524590164,9.01639344262295,6.557377049180328,13.114754098360656,9.01639344262295,0,3.278688524590164,0,0,0.819672131147541,0,4.5048361567585005,1.6122457965031596,2.5930929591268264,2.2410816167040455,3.0561395271872076,2.5930929591268264,0,1.6122457965031596,0,0,0.8163059069407409,0
