,Concentration (Al)
Distance (nm),Ion Count,Ni ion%,Mo ion%,Nb ion%,Cr ion%,Fe ion%,Al ion%,Si ion%,Ti ion%,H2 ion%,O ion%,O2 ion%,H ion%,Ni ion% Sigma,Mo ion% Sigma,Nb ion% Sigma,Cr ion% Sigma,Fe ion% Sigma,Al ion% Sigma,Si ion% Sigma,Ti ion% Sigma,H2 ion% Sigma,O ion% Sigma,O2 ion% Sigma,H ion% Sigma
-4.950000073760748,16599,47.1474185191879,2.259172239291524,4.7713717693836974,22.212181456714262,21.621784444846075,0.38556539550575336,0.259051750105428,0.5903970118681848,0.006024459304777396,0.012048918609554793,0.6867883607446231,0.04819567443821917,0.38745484775060457,0.11533781382187143,0.16544910799514037,0.32263422848266304,0.3195232684764139,0.04810267178374537,0.039453819126720344,0.05946279001443437,0.006024277831494584,0.008519358763094231,0.06410235928522573,0.01703563740489075
-4.850000072270632,18019,47.13358121982352,2.108885065763916,4.761640490593263,22.542871413507964,21.42738220766968,0.4661745934846551,0.2108885065763916,0.5827182418558188,0.016649092624451967,0.016649092624451967,0.6604140074365947,0.07214606803929186,0.37186886881745584,0.10703670971226413,0.15864226858624186,0.31129344152502086,0.3056714146516413,0.050745122543440296,0.03417454105159398,0.05670154681085587,0.009611557889979251,0.009611557889979251,0.060339814160283535,0.020002499634011153
-4.750000070780516,19017,46.963243413787666,2.0350212967345005,4.585370983856549,22.88478729557764,21.66482620812957,0.3523163485302624,0.2524057422306358,0.5573960140926539,0.005258452963138245,0.026292264815691222,0.6257559026134512,0.047326076668244205,0.36190661129750196,0.10238796238430481,0.15167839308225484,0.30462985745802185,0.29873424289391254,0.042966403119203134,0.03638562399209379,0.05398799142208755,0.0052583147046828295,0.011756712424242756,0.057183191869519326,0.01577162551842661
-4.6500000692903996,20675,46.7956469165659,1.939540507859734,4.744860943168078,22.23458282950423,22.253929866989118,0.4546553808948005,0.2660217654171705,0.5900846432889963,0,0.014510278113663845,0.6142684401451027,0.09189842805320435,0.3470192382218762,0.09591215080749514,0.14785403909842074,0.2891911422852013,0.28928094085367434,0.046787397188000714,0.035822624265798554,0.053265897510633,0,0.008376905152674344,0.05433984079256806,0.021073255639035456
-4.550000067800283,22014,47.50613246116108,1.9851003906604887,4.883256109748342,22.05414736077042,21.690742254928683,0.3952030526028891,0.25438357408921597,0.5950758608158445,0.013627691469065142,0.004542563823021714,0.5632779140546925,0.05451076587626057,0.3365732854566583,0.0940129771861158,0.14525589190109106,0.27944230891108907,0.2777757184743152,0.04228640757532522,0.03395017057729541,0.051837092556284214,0.007867415209765178,0.004542460647419564,0.05044118492817787,0.015731613211027923
-4.450000066310167,23014,46.680281567741375,2.0856869731467804,4.883983662118711,22.86434344312158,21.473885461023727,0.5214217432866951,0.2737464152255149,0.5561831928391414,0.004345181194055792,0.013035543582167377,0.5735639176153645,0.06952289910489268,0.32886268841866184,0.09420015134427467,0.14207506822403496,0.2768285661981354,0.27068632529147163,0.047474816976014945,0.03444156823677014,0.04902321264046918,0.004345086790032229,0.007525584047843495,0.049778957039247784,0.017374681933875823
-4.350000064820051,24370,47.15633976200246,2.002462043496102,4.628641772671317,22.716454657365613,21.456709068526877,0.3939269593762823,0.22158391464915883,0.6442347148132951,0.016413623307345096,0,0.6729585556011489,0.09027492819039803,0.3197707424335266,0.08973502005876734,0.13458851598063662,0.2684021744856512,0.26297129119325147,0.04012573462157423,0.03012032499131547,0.051249641696780444,0.008206138108457932,0,0.0523721188446264,0.019237989934623168
-4.250000063329935,25470,47.02002355712603,1.939536709854731,4.793875147232038,22.42245779348253,21.95131527287004,0.3612092658029054,0.2866117000392619,0.5535924617196702,0.007852375343541421,0.007852375343541421,0.5771495877502945,0.07852375343541422,0.3127395659916219,0.08641348093522175,0.13386323966454947,0.26133353508980484,0.2593573711671266,0.03759059437540484,0.03349725521124604,0.04649167153919727,0.00555224984925211,0.00555224984925211,0.04746492810916178,0.0175515499241073
-4.150000061839819,26826,46.805338104823676,1.9235070454037126,4.708118989040483,22.828599120256467,21.743830612092747,0.4585104003578618,0.298218146574219,0.5032431223439947,0.022366360993066426,0.011183180496533213,0.6113472004771491,0.08573771714008797,0.3046518078895652,0.0838593312017667,0.12932238485649525,0.25626533476252605,0.2518542945486881,0.04124760181518416,0.03329204961998645,0.04320315134769584,0.009130007442798757,0.006456251232673413,0.04759204928822728,0.01786988430707664
-4.050000060349703,28772,46.22897261226192,2.1096899763659116,4.6399277074933964,22.84512720700681,22.15348255248158,0.35103572918114834,0.2884749061587655,0.6603642430140414,0.010426803837063812,0.0034756012790212705,0.6429862366189352,0.06603642430140413,0.29393158892348337,0.08472159939232851,0.12400918892768323,0.24751039559272806,0.244824892385349,0.03486799939775304,0.03161852992915545,0.047749412280560136,0.006019604151414236,0.0034755408794752006,0.04712106283625656,0.015144791725835834
