,Concentration (Nb)
Distance (nm),Ion Count,Ni ion%,Mo ion%,Nb ion%,Cr ion%,Fe ion%,Al ion%,Si ion%,Ti ion%,H2 ion%,O ion%,O2 ion%,H ion%,Ni ion% Sigma,Mo ion% Sigma,Nb ion% Sigma,Cr ion% Sigma,Fe ion% Sigma,Al ion% Sigma,Si ion% Sigma,Ti ion% Sigma,H2 ion% Sigma,O ion% Sigma,O2 ion% Sigma,H ion% Sigma
-4.950000073760748,7380,44.87804878048781,1.924119241192412,3.035230352303523,23.739837398373982,24.363143631436316,0.7181571815718157,0.33875338753387535,0.43360433604336046,0,0.02710027100271003,0.47425474254742545,0.06775067750677506,0.5789633778694022,0.15990753140356426,0.19969842165701904,0.49528999199480267,0.4996952452732877,0.09829161883547287,0.06763582630110951,0.07648477972126808,0,0.019160188638678032,0.07997336675055775,0.03028875844926101
-4.850000072270632,8319,45.11359538406058,2.1396802500300516,2.800817405938214,23.5965861281404,24.37793003966823,0.6370958047842289,0.32455824017309776,0.24041351123933163,0.03606202668589975,0,0.6491164803461955,0.08414472893376608,0.5455700856416855,0.15865077285714316,0.1808998232655541,0.46552757135450523,0.4707465344207801,0.08723262648347706,0.06235981847871161,0.05369343563563263,0.020816666343257403,0,0.08804640384833542,0.0317903347358031
-4.750000070780516,9301,45.876787442210514,1.7740027953983444,3.0749381786904633,24.09418342113751,23.449091495538113,0.37630362326631545,0.32254596279969894,0.29029136651972903,0,0.021503064186646596,0.6665949897860445,0.053757660466616494,0.5166821528469518,0.13687544716231465,0.17900757758738509,0.4434338192163115,0.43931230010153655,0.06348713127914075,0.058793518500239894,0.05578545264351609,0,0.015203327648353481,0.0843750147463679,0.02403469377258065
-4.6500000692903996,10514,44.88301312535667,1.9402701160357618,2.796271637816245,24.472132394902037,23.97755373787331,0.6182233212859045,0.3424006087121933,0.2948449686132775,0.009511128019783146,0,0.5992010652463382,0.06657789613848203,0.4850647885481728,0.1345217341699306,0.16078560127877742,0.4192813375035326,0.41637952968260034,0.0764437676671064,0.05696898586446329,0.05287759337103473,0.0095106757012467,0,0.07526572330627386,0.025155701175963344
-4.550000067800283,11861,45.10580895371385,2.2342129668662003,2.748503498861816,24.087345080515977,23.809122333698678,0.6913413708793525,0.2192058005227215,0.22763679285051852,0.016861984655593965,0.008430992327796982,0.7419273248461344,0.10960290026136076,0.4568974979861481,0.13570476004586907,0.1501189923449158,0.3926367122554724,0.39107722824846397,0.07608151958389266,0.04294265048719005,0.04375883041730141,0.011922218405779433,0.008430636912147401,0.07879577823294197,0.030381711823400537
-4.450000066310167,13166,45.078231809205526,1.9747835333434605,2.5900045571927692,24.396171958073825,23.948048002430504,0.6456023089776697,0.2810268874373386,0.37217074282242135,0.0227859638462707,0,0.622816345131399,0.06835789153881208,0.4336394313876525,0.12125557858214867,0.1384283684584207,0.37428791976001985,0.3719318046204061,0.06979899340396914,0.04613557206311307,0.05306822027705976,0.013153983473273413,0,0.06856404286930806,0.022778174512661023
-4.350000064820051,14874,45.04504504504504,1.90937205862579,2.675810138496706,24.573080543229796,23.793196181255883,0.6992066693559231,0.29581820626596744,0.2756487831114697,0.02016942315449778,0.01344628210299852,0.6790372462014254,0.02016942315449778,0.4079557439569335,0.11221351079585282,0.13231959335268564,0.353003571144853,0.3491478546288801,0.06832273633422735,0.04453026175999301,0.042989734304613836,0.011643647481727,0.00950731800191035,0.06733693895639745,0.011643647481727
-4.250000063329935,16501,44.96697169868493,2.048360705411793,2.8967941336888674,24.24095509363069,23.986425065147568,0.5696624447003212,0.26059026725652995,0.25453002848312223,0.012120477546815346,0.006060238773407673,0.6666262650748439,0.09090358160111509,0.3872606713744216,0.11026912798573496,0.13056310453631373,0.33360839962422917,0.33240933356182534,0.05858859985557079,0.039687830601336516,0.03922482108912836,0.008569952457774296,0.006060055138155492,0.06334811132866042,0.02346053333545925
-4.150000061839819,18203,44.750865241993075,1.950227984398176,2.9006207767950336,24.336647805306818,24.155359006757127,0.5713343954293248,0.21974399824204802,0.302147997582816,0.021974399824204804,0,0.7086743943306049,0.082403999340768,0.3685462311136424,0.10249306992400647,0.12438906944375963,0.3180546015345137,0.3172471386174538,0.05586367546365844,0.03470638127404598,0.04068003111326309,0.010985992660158081,0,0.06217381842034852,0.021267852940430754
-4.050000060349703,20087,44.69557425200378,2.0660128441280428,2.937223079603724,24.612933738238663,23.920943894060837,0.5227261412854085,0.27878727535221787,0.26883058694678147,0.02489172101359088,0.004978344202718176,0.5874446159207448,0.07965350724349081,0.35079602580305996,0.10036347428082013,0.11913442754136765,0.3039293021264006,0.3009983911820199,0.05087934450251801,0.03720255004955773,0.03653400266102258,0.011130530503699075,0.004978220281620848,0.05391958523110143,0.01990544437942282
