ROI,Top Level ROI
Ion(s),H2
Maximum d-pair (nm),3
Sample Width d-pair (nm),0.025
Order (ions),5
Sample Count,120


d-pair (nm),Count,Randomized Count
0.0125000001862645,0,0
0.0375000005587935,0,0
0.0625000009313226,0,0
0.0875000031664968,0,0
0.112500001676381,0,0
0.137500000186265,0,0
0.162500006146729,0,0
0.187499997206032,0,0
0.212500003166497,0,0
0.237500009126961,1,1
0.262500000186265,3,3
0.287500006146729,9,11
0.312500012107193,43,24
0.337500018067658,121,60
0.3624999942258,276,177
0.387500000186265,589,391
0.412500006146729,1239,850
0.437500012107193,2208,1538
0.462500018067658,3856,2683
0.4874999942258,6049,4429
0.512500000186265,8638,6643
0.537500035949051,11826,9400
0.562500012107193,15671,12743
0.587499988265336,19196,16473
0.612500024028122,21876,19961
0.637500000186265,23987,23069
0.662500035949051,25116,25501
0.687500012107193,24717,26169
0.712499988265336,23494,25444
0.737500024028122,20857,23878
0.762500000186265,17822,21062
0.787500035949051,14476,17795
0.812500012107193,11447,14306
0.837499988265336,9022,10909
0.862500024028122,6469,8196
0.887500000186265,4649,5776
0.912500035949051,3498,3856
0.937500012107193,2540,2426
0.962499988265336,1836,1664
0.987500024028122,1350,996
1.01250000018626,1012,605
1.03749997634441,799,415
1.06250007171184,628,275
1.08750004786998,448,178
1.11250002402812,363,111
1.13750000018626,298,74
1.16249997634441,238,35
1.18750007171184,208,20
1.21250004786998,165,16
1.23750002402812,159,10
1.26250000018626,131,11
1.28749997634441,107,4
1.31250007171184,90,7
1.33750004786998,93,1
1.36250002402812,62,0
1.38750000018626,64,1
1.41249997634441,40,0
1.43750007171184,57,0
1.46250004786998,47,1
1.48750002402812,41,0
1.51250000018626,37,0
1.53749997634441,20,0
1.56250007171184,31,1
1.58750004786998,27,0
1.61250002402812,32,0
1.63750000018626,18,0
1.66249997634441,20,0
1.68750007171184,16,0
1.71250004786998,11,0
1.73750002402812,10,0
1.76250000018626,8,0
1.78749997634441,8,0
1.81250007171184,6,0
1.83750004786998,3,0
1.86250002402812,5,0
1.88750000018626,4,0
1.91249997634441,3,0
1.93750007171184,0,0
1.96250004786998,4,0
1.98750002402812,1,0
2.01250000018626,0,0
2.0375000955537,2,0
2.06249995250255,0,0
2.08750004786998,1,0
2.11250014323741,0,0
2.13750000018626,1,0
2.1625000955537,0,0
2.18749995250255,0,0
2.21250004786998,0,0
2.23750014323741,0,0
2.26250000018626,0,0
2.2875000955537,0,0
2.31249995250255,0,0
2.33750004786998,0,0
2.36250014323741,0,0
2.38750000018626,0,0
2.4125000955537,0,0
2.43749995250255,0,0
2.46250004786998,0,0
2.48750014323741,0,0
2.51250000018626,0,0
2.5375000955537,0,0
2.56249995250255,0,0
2.58750004786998,0,0
2.61250014323741,0,0
2.63750000018626,0,0
2.6625000955537,0,0
2.68749995250255,0,0
2.71250004786998,0,0
2.73750014323741,0,0
2.76250000018626,0,0
2.7875000955537,0,0
2.81249995250255,0,0
2.83750004786998,0,0
2.86250014323741,0,0
2.88750000018626,0,0
2.9125000955537,0,0
2.93749995250255,0,0
2.96250004786998,0,0
2.98750014323741,0,0

