ROI,Top Level ROI
Ion(s),H2
Maximum d-pair (nm),3
Sample Width d-pair (nm),0.025
Order (ions),1
Sample Count,120


d-pair (nm),Count,Randomized Count
0.0125000001862645,90,76
0.0375000005587935,466,444
0.0625000009313226,1291,1222
0.0875000031664968,2545,2493
0.112500001676381,4167,3859
0.137500000186265,5945,5524
0.162500006146729,8157,7794
0.187499997206032,10283,9721
0.212500003166497,12891,11860
0.237500009126961,14909,14190
0.262500000186265,16980,16191
0.287500006146729,18588,18127
0.312500012107193,19486,19407
0.337500018067658,20223,20058
0.3624999942258,20437,20491
0.387500000186265,19897,19866
0.412500006146729,18734,18670
0.437500012107193,16895,17828
0.462500018067658,15197,15963
0.4874999942258,13186,13983
0.512500000186265,10896,11801
0.537500035949051,9008,9923
0.562500012107193,7346,7814
0.587499988265336,5549,6164
0.612500024028122,4068,4577
0.637500000186265,3093,3369
0.662500035949051,2177,2328
0.687500012107193,1581,1577
0.712499988265336,1130,1094
0.737500024028122,759,700
0.762500000186265,537,423
0.787500035949051,380,297
0.812500012107193,302,155
0.837499988265336,225,91
0.862500024028122,148,51
0.887500000186265,120,22
0.912500035949051,103,20
0.937500012107193,82,6
0.962499988265336,59,8
0.987500024028122,38,3
1.01250000018626,34,1
1.03749997634441,32,3
1.06250007171184,23,2
1.08750004786998,18,1
1.11250002402812,16,1
1.13750000018626,17,1
1.16249997634441,17,0
1.18750007171184,13,0
1.21250004786998,11,0
1.23750002402812,10,0
1.26250000018626,5,0
1.28749997634441,6,0
1.31250007171184,3,0
1.33750004786998,4,0
1.36250002402812,3,0
1.38750000018626,4,0
1.41249997634441,2,0
1.43750007171184,3,0
1.46250004786998,0,0
1.48750002402812,2,0
1.51250000018626,3,0
1.53749997634441,1,0
1.56250007171184,0,0
1.58750004786998,1,0
1.61250002402812,0,0
1.63750000018626,1,0
1.66249997634441,0,0
1.68750007171184,0,0
1.71250004786998,1,0
1.73750002402812,0,0
1.76250000018626,1,0
1.78749997634441,0,0
1.81250007171184,0,0
1.83750004786998,0,0
1.86250002402812,0,0
1.88750000018626,0,0
1.91249997634441,0,0
1.93750007171184,0,0
1.96250004786998,0,0
1.98750002402812,0,0
2.01250000018626,0,0
2.0375000955537,0,0
2.06249995250255,0,0
2.08750004786998,0,0
2.11250014323741,0,0
2.13750000018626,0,0
2.1625000955537,0,0
2.18749995250255,0,0
2.21250004786998,0,0
2.23750014323741,0,0
2.26250000018626,0,0
2.2875000955537,0,0
2.31249995250255,0,0
2.33750004786998,0,0
2.36250014323741,0,0
2.38750000018626,0,0
2.4125000955537,0,0
2.43749995250255,0,0
2.46250004786998,0,0
2.48750014323741,0,0
2.51250000018626,0,0
2.5375000955537,0,0
2.56249995250255,0,0
2.58750004786998,0,0
2.61250014323741,0,0
2.63750000018626,0,0
2.6625000955537,0,0
2.68749995250255,0,0
2.71250004786998,0,0
2.73750014323741,0,0
2.76250000018626,0,0
2.7875000955537,0,0
2.81249995250255,0,0
2.83750004786998,0,0
2.86250014323741,0,0
2.88750000018626,0,0
2.9125000955537,0,0
2.93749995250255,0,0
2.96250004786998,0,0
2.98750014323741,0,0

